FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17019,Illinois,Champaign,1691,295,280,309,530,150,282,100,63.3,50.9,75.7,115.3,,51.7,118,7,6,8,21,,5,12,11,12,11,11,12,8,6,10,368,206,33550,16,9045,4,86,14,6.0,120,8,7,10,29,28,30,10287,8,7,9,1081,3,2,3,9053,119,837:1,4,51032,47790,54274,29875,41644,55181,51,49,39,3,2,4,63,6,5,8,208419,18.9,11.8,26441,12.7,750,0.4,22293,10.7,210,0.1,12064,5.8,141957,68.1,3481,1.8,1.5,2.1,50.0,25558,12.7,
17021,Illinois,Christian,479,388,352,425,,,,18,63.2,37.5,99.9,,,,26,10,7,15,,,,11,11,12,11,11,11,11,8,14,32,112,4290,13,1063,3,24,24,7.0,49,20,15,27,31,29,32,1280,7,6,8,202,3,2,4,10493,39,2562:1,23,49324,45381,53267,14844,,47670,53,74,47,,,,16,9,5,15,33309,20.5,19.4,517,1.6,80,0.2,236,0.7,13,0.0,514,1.5,31674,95.1,38,0.1,0.0,0.5,49.1,15121,43.5,
17023,Illinois,Clark,250,429,373,485,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,10,7,14,19,142,1970,12,510,3,,,10.0,24,21,14,32,31,30,33,607,7,5,8,111,3,2,4,9724,31,3188:1,,49937,46282,53592,,38304,48624,57,,37,,,,14,17,10,29,15938,22.8,19.3,81,0.5,38,0.2,58,0.4,4,0.0,237,1.5,15389,96.6,37,0.2,0.0,0.8,50.6,9726,59.5,
17025,Illinois,Clay,211,414,355,472,,,,,,,,,,,,,,,,,,12,11,12,11,11,12,10,7,14,6,54,1640,12,463,3,,,5.0,26,27,18,40,31,30,32,583,7,6,9,90,3,2,4,12558,83,1209:1,,43478,38369,48587,,55972,46003,49,,25,,,,,,,,13300,22.6,19.5,59,0.4,37,0.3,108,0.8,0,0.0,179,1.3,12796,96.2,85,0.7,0.0,1.6,50.6,8943,64.7,
17027,Illinois,Clinton,376,280,251,309,,,,13,40.2,21.4,68.8,,,,,,,,,,,10,10,10,10,10,10,10,7,13,44,137,3370,9,1828,5,,,4.0,40,15,11,21,31,30,32,1243,6,5,7,202,2,2,3,9262,42,2358:1,12,61013,54492,67534,61995,76250,64456,36,52,36,,,,,,,,37729,21.2,16.6,1319,3.5,150,0.4,209,0.6,25,0.1,1179,3.1,34508,91.5,132,0.4,0.1,0.7,48.2,18412,48.8,
17029,Illinois,Coles,619,363,334,393,,,,20,52.4,32.0,81.0,,,,29,8,5,12,,,,13,13,14,13,12,13,9,7,12,35,76,8290,16,3494,6,13,8,5.0,46,12,9,16,31,30,32,2334,7,6,9,226,2,2,3,10635,107,935:1,6,42066,37921,46211,14583,,40419,51,48,44,3,2,5,15,6,3,9,52343,18.0,15.8,2095,4.0,138,0.3,532,1.0,62,0.1,1285,2.5,47584,90.9,302,0.6,0.3,0.9,51.5,13085,24.3,
17031,Illinois,Cook,55873,336,333,338,565,218,284,2773,58.7,56.6,60.9,109.4,42.4,38.6,3382,7,7,7,13,5,4,11,11,11,11,10,11,9,9,10,25623,586,661630,13,88307,2,2433,16,9.0,2097,6,6,6,33,33,34,443017,13,13,14,36784,3,3,3,10161,63,1591:1,15,60025,59116,60934,34893,47369,73572,65,78,53,12,11,12,3413,13,13,14,5203499,22.3,13.6,1218315,23.4,39176,0.8,385696,7.4,3861,0.1,1318879,25.3,2208182,42.4,362905,7.4,,,51.4,2353,0.0,
17033,Illinois,Crawford,286,386,340,432,,,,11,71.1,35.5,127.2,,,,,,,,,,,11,10,11,11,10,11,10,7,14,30,180,2230,11,865,4,,,6.0,31,23,15,32,31,30,32,695,6,5,8,113,3,2,4,9607,57,1755:1,17,46374,41730,51018,112000,,47435,46,52,19,,,,,,,,19308,20.0,18.8,929,4.8,64,0.3,127,0.7,9,0.0,453,2.3,17567,91.0,153,0.8,0.4,1.3,48.1,11923,60.2,
17035,Illinois,Cumberland,141,338,280,396,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,11,8,14,7,77,1260,12,,,,,5.0,17,22,13,36,30,29,32,454,7,6,8,91,3,2,5,10295,37,2715:1,,49733,43579,55887,,32593,44918,48,,,,,,,,,,10858,22.6,18.4,48,0.4,19,0.2,88,0.8,1,0.0,120,1.1,10493,96.6,0,0.0,0.0,0.8,49.8,11048,100.0,
17037,Illinois,DeKalb,820,278,259,297,414,203,279,40,43.9,31.4,59.8,,,,43,5,4,7,,,,12,12,12,12,11,12,8,6,11,61,69,13940,13,13224,13,34,11,5.0,62,8,7,11,29,28,30,5533,9,7,10,640,3,2,3,9885,37,2680:1,6,59586,55251,63921,19736,43676,60288,41,60,40,,,,24,5,3,7,104528,21.6,11.9,7663,7.3,449,0.4,2934,2.8,74,0.1,11577,11.1,80632,77.1,1710,1.7,1.3,2.2,50.4,21353,20.3,
