"ZIP","FIPS","CountyName","St","Name","Lat","Long","Enc_ZIP","Pops","Area","PopDensity"
62964,17153,"Pulaski","IL","62964 Mounds",37.114921,-89.201842,"",0,0,0
62965,17165,"Saline","IL","62965 Muddy",37.737096,-88.542179,"62946",0,0,0
62966,17077,"Jackson","IL","62966 Murphysboro",37.770697,-89.330888,"",0,0,0
62967,17087,"Johnson","IL","62967 New Burnside",37.581137,-88.766149,"",0,0,0
62969,17003,"Alexander","IL","62969 Olive Branch",37.168443,-89.352622,"62990",0,0,0
62970,17153,"Pulaski","IL","62970 Olmsted",37.207829,-89.104705,"",0,0,0
62971,17077,"Jackson","IL","62971 Oraville",37.864883,-89.384371,"62966",0,0,0
62972,17087,"Johnson","IL","62972 Ozark",37.541511,-88.810233,"",0,0,0
62973,17153,"Pulaski","IL","62973 Perks",37.310060,-89.085436,"62992",0,0,0
62974,17199,"Williamson","IL","62974 Pittsburg",37.785199,-88.802417,"",0,0,0
62975,17077,"Jackson","IL","62975 Pomona",37.642967,-89.367391,"",0,0,0
62976,17153,"Pulaski","IL","62976 Pulaski",37.221347,-89.200186,"",0,0,0
62977,17165,"Saline","IL","62977 Raleigh",37.849758,-88.544369,"",0,0,0
62979,17059,"Gallatin","IL","62979 Ridgway",37.799226,-88.240462,"",0,0,0
62982,17069,"Hardin","IL","62982 Rosiclare",37.426005,-88.362643,"",0,0,0
62983,17055,"Franklin","IL","62983 Royalton",37.906720,-89.102574,"",0,0,0
62984,17059,"Gallatin","IL","62984 Shawneetown",37.702132,-88.171013,"",0,0,0
62985,17087,"Johnson","IL","62985 Simpson",37.467334,-88.764742,"",0,0,0
62987,17165,"Saline","IL","62987 Stonefort",37.656688,-88.671261,"",0,0,0
62988,17003,"Alexander","IL","62988 Tamms",37.237572,-89.266195,"",0,0,0
62990,17003,"Alexander","IL","62990 Thebes",37.221039,-89.459856,"",0,0,0
62992,17153,"Pulaski","IL","62992 Ullin",37.271046,-89.143791,"",0,0,0
62993,17003,"Alexander","IL","62993 Unity",37.149203,-89.273257,"62988",0,0,0
62994,17077,"Jackson","IL","62994 Vergennes",37.903872,-89.333701,"",0,0,0
62995,17087,"Johnson","IL","62995 Vienna",37.415468,-88.891880,"",0,0,0
62996,17153,"Pulaski","IL","62996 Villa Ridge",37.157680,-89.157348,"",0,0,0
62997,17145,"Perry","IL","62997 Willisville",37.981107,-89.526076,"",0,0,0
62998,17181,"Union","IL","62998 Wolf Lake",37.511018,-89.442317,"",0,0,0
62999,17055,"Franklin","IL","62999 Zeigler",37.892391,-89.053519,"",0,0,0
63673,29157,"Perry","IL","63673 Saint Mary",37.815904,-89.994959,"",0,0,0
