FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17091,Illinois,Kankakee,1329,369,349,389,72,64,50,81,84,8,6,10,11,10,11,11,10,11,10,10,10,117,126,17940,16,6448,6,50,15,14.1-16.0,101,13,10,15,35,34,36,10278,16,14,17,1189,4,3,5,10468,53,1888:1,55,1826:1,56326,52945,59707,49,59,52,5,3,7,111375,24.1,14.9,16791,15.1,458,0.4,1215,1.1,47,0.0,10979,9.9,80533,72.3,1756,1.7,1.4,2.0,50.9,27746,24.5,
17093,Illinois,Kendall,732,239,222,257,51,35,26,47,72,6,5,7,9,8,9,9,9,9,8,7,8,33,36,9370,8,3634,3,33,9,8.1-10.0,58,7,6,10,31,30,32,8612,12,10,13,1450,4,3,5,9815,26,3792:1,27,3677:1,90640,83124,98156,22,28,15,2,1,3,121350,29.8,9.0,7562,6.2,577,0.5,4065,3.3,60,0.0,20545,16.9,87284,71.9,2366,2.2,1.4,2.9,50.6,11955,10.4,
17095,Illinois,Knox,794,415,384,445,36,85,59,117,33,9,6,12,11,11,12,11,11,11,11,10,11,84,187,7870,15,2260,4,24,15,12.1-14.0,36,10,7,14,32,31,34,4539,16,14,18,380,4,2,5,9474,44,2264:1,44,2264:1,38992,35919,42065,49,49,41,3,2,6,52069,20.0,19.6,3994,7.7,194,0.4,476,0.9,15,0.0,2891,5.6,43572,83.7,344,0.7,0.3,1.0,49.7,12870,24.3,
17097,Illinois,Lake,5202,242,236,249,277,37,33,41,357,6,5,6,10,9,10,9,9,9,9,8,9,698,122,65820,9,36708,5,234,11,12.1-14.0,228,5,4,5,31,30,32,69463,16,15,17,8508,5,4,5,9689,45,2211:1,47,2143:1,78001,74819,81183,21,60,38,3,2,3,705186,25.4,12.2,48690,6.9,6032,0.9,50932,7.2,621,0.1,147933,21.0,446523,63.3,34380,5.2,5.0,5.5,50.1,8915,1.3,
17099,Illinois,LaSalle,1374,352,333,372,49,48,35,63,64,7,5,9,10,10,10,10,10,10,10,9,10,66,69,15140,13,7383,6,67,20,>20,107,13,11,16,32,31,33,10544,16,14,18,979,4,3,5,9307,36,2781:1,38,2649:1,51205,46932,55478,40,54,33,2,1,3,111241,22.1,17.6,2387,2.1,373,0.3,977,0.9,27,0.0,9854,8.9,96683,86.9,1184,1.1,0.8,1.4,49.8,34422,30.2,
17101,Illinois,Lawrence,238,419,365,473,12,94,49,164,,,,,11,10,11,10,10,11,10,9,10,19,133,2380,14,886,5,,,14.1-16.0,22,19,12,28,34,32,35,1270,15,13,17,142,4,3,6,10684,30,3304:1,30,3304:1,41759,37042,46476,41,30,44,,,,16519,18.8,17.0,1611,9.8,56,0.3,70,0.4,4,0.0,612,3.7,14046,85.0,194,1.2,,,44.0,9766,58.0,
17103,Illinois,Lee,441,347,314,381,13,44,23,75,,,,,10,10,10,10,9,10,10,9,10,66,220,4590,13,1044,3,15,14,12.1-14.0,28,11,7,16,31,30,32,2717,14,12,16,321,4,3,5,9006,32,3158:1,32,3158:1,54472,50837,58107,36,56,28,,,,34735,20.3,17.5,1756,5.1,111,0.3,311,0.9,14,0.0,2021,5.8,30222,87.0,216,0.6,0.2,1.1,47.2,19173,53.2,
17105,Illinois,Livingston,505,385,351,419,27,79,52,115,35,11,7,15,10,9,10,10,10,10,9,9,10,184,564,4880,13,995,3,16,14,14.1-16.0,49,18,13,24,32,31,33,2629,13,11,14,319,4,3,5,9126,53,1895:1,63,1579:1,53918,49764,58072,32,50,15,,,,37903,21.6,17.0,2042,5.4,100,0.3,248,0.7,10,0.0,1703,4.5,33437,88.2,136,0.4,0.1,0.7,49.6,15893,40.8,
17107,Illinois,Logan,343,340,304,377,13,55,29,94,,,,,10,10,10,10,10,10,9,9,10,98,379,4470,15,1895,6,10,11,6.1-8.0,31,15,10,21,32,31,33,1912,13,11,14,221,4,3,5,9671,30,3305:1,34,2975:1,54353,49365,59341,41,46,17,,,,29746,19.0,17.1,2335,7.8,101,0.3,224,0.8,8,0.0,1021,3.4,25756,86.6,75,0.3,,,49.4,12081,39.9,
17109,Illinois,McDonough,305,328,289,366,13,62,33,106,,,,,12,11,12,11,11,12,8,8,9,11,38,5430,17,5671,17,,,6.1-8.0,23,10,6,15,33,32,34,3141,17,14,19,233,4,3,5,8444,44,2277:1,44,2277:1,42684,38217,47151,43,61,33,,,,31880,16.6,14.9,1664,5.2,94,0.3,687,2.2,6,0.0,865,2.7,28093,88.1,98,0.3,0.0,0.7,50.5,9622,29.5,
17111,Illinois,McHenry,2554,264,253,274,86,26,21,33,115,4,4,5,8,8,9,9,9,9,9,8,9,108,43,27830,9,19724,6,120,13,12.1-14.0,172,8,7,9,31,30,32,26182,14,12,15,3692,5,3,6,10001,21,4656:1,23,4390:1,76856,73261,80451,21,58,27,1,1,2,307283,25.0,12.1,3900,1.3,1401,0.5,8755,2.8,159,0.1,38117,12.4,252670,82.2,8035,2.8,2.5,3.1,50.1,30501,9.9,
17113,Illinois,McLean,1346,286,271,302,93,61,49,74,110,7,6,9,10,9,10,10,10,10,7,7,8,139,96,22680,13,13951,8,67,13,10.1-12.0,89,7,6,9,32,31,33,12486,12,10,13,1309,3,2,4,8288,50,2001:1,51,1956:1,60460,55862,65058,30,43,34,2,1,3,174061,22.1,11.4,13026,7.5,533,0.3,9148,5.3,82,0.0,8289,4.8,139850,80.3,1408,0.9,0.6,1.1,51.3,27974,16.5,
17115,Illinois,Macon,1436,374,354,393,58,58,44,75,104,11,9,13,11,11,11,11,11,11,11,10,11,137,149,19660,18,10006,9,34,10,8.1-10.0,70,9,7,11,32,31,33,8610,14,12,15,771,3,2,4,9685,97,1032:1,99,1013:1,47575,44192,50958,48,60,48,7,6,10,108350,22.4,17.9,18301,16.9,278,0.3,1302,1.2,49,0.0,2283,2.1,83644,77.2,520,0.5,,,52.2,16905,15.3,
17117,Illinois,Macoupin,637,379,349,410,21,50,31,76,25,7,5,11,10,9,10,10,10,10,10,9,10,23,58,6200,13,1543,3,17,12,8.1-10.0,48,14,11,19,31,30,33,4127,15,13,17,425,4,3,5,9283,32,3097:1,34,2903:1,48544,44855,52233,41,,24,,,,46453,21.5,18.7,499,1.1,141,0.3,183,0.4,11,0.0,478,1.0,44724,96.3,122,0.3,0.0,0.5,50.6,27949,58.5,
17119,Illinois,Madison,3377,377,364,390,115,48,39,56,135,6,5,7,10,10,11,10,10,10,9,9,10,258,115,36950,14,25960,10,198,25,18.1-20.0,235,13,11,14,32,31,33,21287,13,12,14,1765,3,2,4,9506,38,2666:1,39,2539:1,54375,51119,57631,41,52,43,4,3,5,266560,22.2,15.7,21954,8.2,813,0.3,2529,0.9,149,0.1,8239,3.1,228568,85.7,809,0.3,0.2,0.4,51.1,35924,13.3,
17121,Illinois,Marion,647,461,424,497,24,66,43,99,,,,,11,11,11,11,11,11,11,10,11,19,59,6280,16,4435,11,22,19,18.1-20.0,41,15,11,20,31,30,32,3556,16,14,18,341,4,3,5,11274,60,1677:1,65,1543:1,44289,40367,48211,56,65,44,4,2,7,38571,23.0,18.4,1518,3.9,131,0.3,241,0.6,10,0.0,708,1.8,35413,91.8,114,0.3,0.0,0.6,51.1,17769,45.1,
17123,Illinois,Marshall,181,385,326,445,,,,,,,,,10,9,10,10,10,10,10,10,11,,,1450,12,520,4,,,8.1-10.0,14,16,9,27,30,29,31,926,13,12,15,128,5,4,6,8702,25,4005:1,25,4005:1,53732,47484,59980,38,,55,,,,12014,19.9,21.8,53,0.4,36,0.3,97,0.8,4,0.0,397,3.3,11361,94.6,73,0.6,0.0,1.3,50.7,12640,100.0,
17125,Illinois,Mason,226,430,371,489,10,80,39,148,,,,,11,10,11,11,10,11,10,10,11,6,49,2180,15,409,3,,,12.1-14.0,19,19,11,29,32,30,33,1227,15,13,17,128,4,3,5,9834,29,3475:1,29,3475:1,46878,41830,51926,40,,,,,,13898,21.1,19.8,72,0.5,47,0.3,51,0.4,1,0.0,146,1.1,13430,96.6,22,0.2,0.0,0.7,50.4,11364,77.5,
17127,Illinois,Massac,267,496,434,557,,,,,,,,,11,11,11,11,11,11,11,11,12,12,94,2250,15,596,4,12,27,18.1-20.0,16,15,9,24,32,31,33,1256,14,12,16,126,4,3,5,9893,7,14905:1,7,14905:1,40590,35779,45401,51,42,40,,,,14905,21.9,20.3,841,5.6,60,0.4,60,0.4,2,0.0,394,2.6,13259,89.0,54,0.4,0.0,1.0,52.4,7793,50.5,
17129,Illinois,Menard,148,310,258,362,,,,,,,,,9,9,10,10,9,10,9,9,10,8,75,1420,11,42,0,,,10.1-12.0,15,17,9,28,30,29,32,922,12,11,14,120,4,3,5,8632,8,12570:1,16,6285:1,61388,54287,68489,26,,20,,,,12570,22.4,18.1,142,1.1,33,0.3,43,0.3,3,0.0,170,1.4,12047,95.8,0,0.0,0.0,0.0,51.3,9617,75.7,
17131,Illinois,Mercer,213,354,304,404,13,89,47,152,,,,,9,9,9,9,9,10,10,9,10,6,44,1920,12,1473,9,,,8.1-10.0,15,13,7,22,30,28,31,1213,13,11,15,153,4,3,5,9396,31,3189:1,31,3189:1,54916,50102,59730,29,,16,,,,15945,21.8,20.5,89,0.6,18,0.1,55,0.3,4,0.0,332,2.1,15332,96.2,43,0.3,0.0,0.7,50.6,12779,77.8,
17133,Illinois,Monroe,286,264,233,296,17,53,31,86,,,,,8,8,8,8,8,9,8,8,8,15,54,3150,10,1054,3,,,10.1-12.0,30,13,9,19,30,29,31,1927,9,8,11,277,3,2,4,10069,27,3747:1,27,3747:1,73684,66979,80389,9,,47,,,,33722,22.8,16.0,117,0.3,72,0.2,166,0.5,14,0.0,535,1.6,32581,96.6,22,0.1,0.0,0.4,50.3,13631,41.4,
17135,Illinois,Montgomery,395,377,339,415,11,44,22,79,,,,,10,10,11,10,10,10,10,9,10,103,406,4650,16,1745,6,13,15,10.1-12.0,36,17,12,24,33,32,34,2377,15,13,16,266,4,3,5,9252,72,1398:1,72,1398:1,45288,40182,50394,40,,31,,,,29359,20.5,18.4,981,3.3,60,0.2,114,0.4,11,0.0,492,1.7,27485,93.6,24,0.1,0.0,0.4,47.7,12530,41.6,
17137,Illinois,Morgan,523,418,381,455,15,51,29,84,,,,,10,10,11,10,10,11,10,9,10,55,182,5170,15,3135,9,14,13,8.1-10.0,40,16,12,22,32,31,33,2625,13,12,15,254,4,2,5,8825,34,2911:1,37,2687:1,46406,41696,51116,51,58,48,,,,34929,20.1,18.3,2207,6.3,118,0.3,192,0.5,16,0.0,815,2.3,31118,89.1,152,0.5,0.0,0.9,49.4,12878,36.2,
17139,Illinois,Moultrie,172,333,282,384,,,,,,,,,11,10,11,11,10,11,10,10,11,,,1800,12,114,1,,,6.1-8.0,22,21,13,32,31,30,32,1339,16,14,18,179,5,3,6,9848,20,4946:1,20,4946:1,52790,47787,57793,33,,,,,,14837,24.4,19.0,58,0.4,35,0.2,38,0.3,1,0.0,187,1.3,14404,97.1,22,0.2,0.0,0.7,51.0,10279,69.2,
17141,Illinois,Ogle,573,305,279,330,18,35,21,56,24,6,4,9,10,9,10,10,9,10,9,9,10,23,52,6670,13,1646,3,18,11,8.1-10.0,66,18,14,23,30,29,31,4536,15,13,16,544,4,3,5,9630,21,4735:1,21,4735:1,57126,51999,62253,30,52,52,3,2,5,52085,23.1,17.2,512,1.0,183,0.4,295,0.6,36,0.1,4996,9.6,45665,87.7,842,1.7,1.2,2.2,50.3,25197,47.1,
17143,Illinois,Peoria,2299,381,365,396,115,64,52,76,162,9,7,10,10,10,11,11,10,11,10,10,10,291,188,31130,17,13011,7,93,17,14.1-16.0,119,9,8,11,34,34,35,16191,14,13,16,1579,3,2,4,8961,112,892:1,112,892:1,52448,49873,55023,45,56,45,10,8,12,187319,23.8,15.0,33378,17.8,737,0.4,6947,3.7,87,0.0,8567,4.6,133293,71.2,2002,1.1,0.9,1.4,51.6,27313,14.6,
17145,Illinois,Perry,272,356,313,399,,,,,,,,,11,10,11,10,10,11,10,9,10,41,217,3610,16,2093,9,11,17,12.1-14.0,29,19,13,27,32,31,33,1694,15,13,17,189,4,3,5,10823,46,2167:1,46,2167:1,42032,37166,46898,41,60,50,,,,21672,19.4,17.3,1865,8.6,88,0.4,100,0.5,12,0.1,673,3.1,18665,86.1,103,0.5,0.0,1.0,45.6,9754,43.6,
17147,Illinois,Piatt,205,334,287,381,,,,,,,,,9,8,9,9,9,9,9,8,9,8,57,1760,11,74,0,,,4.1-6.0,13,11,6,19,30,29,31,1103,11,10,13,153,4,3,5,10200,37,2739:1,43,2347:1,65971,58350,73592,24,,37,,,,16431,22.2,18.1,88,0.5,31,0.2,83,0.5,7,0.0,177,1.1,15882,96.7,2,0.0,0.0,0.5,50.3,11319,67.7,
17149,Illinois,Pike,208,347,298,396,,,,,,,,,11,10,11,11,10,11,10,10,11,,,2170,13,1642,10,,,8.1-10.0,16,14,8,23,31,30,33,1678,19,17,21,189,5,4,7,9284,75,1335:1,75,1335:1,39005,35516,42494,45,,21,,,,16022,22.0,19.8,295,1.8,33,0.2,49,0.3,6,0.0,185,1.2,15319,95.6,42,0.3,0.0,0.9,49.9,11880,72.3,
17151,Illinois,Pope,72,459,347,596,,,,,,,,,10,10,11,10,10,11,11,10,11,,,640,15,360,8,,,>20,,,,,31,30,33,440,17,15,20,45,6,4,7,8822,23,4276:1,23,4276:1,40722,35509,45935,47,,,,,,4276,15.6,21.3,277,6.5,32,0.7,14,0.3,2,0.0,81,1.9,3830,89.6,0,0.0,0.0,0.0,47.1,4470,100.0,
17153,Illinois,Pulaski,112,500,402,598,,,,,,,,,13,13,13,12,12,12,14,14,15,6,120,1110,18,1464,24,,,12.1-14.0,10,23,11,43,36,35,36,613,18,15,20,60,4,3,6,9255,,,,,33943,29673,38213,75,34,34,,,,5815,21.9,20.2,1847,31.8,28,0.5,14,0.2,3,0.1,108,1.9,3699,63.6,11,0.2,0.0,1.4,51.9,6161,100.0,
17155,Illinois,Putnam,69,294,225,379,,,,,,,,,9,9,9,9,9,10,10,9,10,,,800,14,0,0,,,12.1-14.0,,,,,30,29,31,532,15,13,17,63,5,4,7,8138,17,5814:1,34,2907:1,62024,54978,69070,25,,,,,,5814,20.2,19.8,51,0.9,15,0.3,17,0.3,1,0.0,271,4.7,5410,93.1,17,0.3,0.0,1.5,49.1,6006,100.0,
17157,Illinois,Randolph,467,402,364,439,12,46,24,81,,,,,10,10,10,10,10,10,10,9,10,74,260,4510,14,1218,4,21,21,10.1-12.0,68,29,23,37,32,31,33,2324,13,12,15,251,4,3,5,10013,46,2191:1,46,2191:1,47862,42843,52881,38,75,58,,,,32869,19.5,17.2,3269,9.9,73,0.2,145,0.4,24,0.1,928,2.8,28199,85.8,97,0.3,0.0,0.7,45.0,14275,42.6,
17159,Illinois,Richland,222,378,327,430,,,,,,,,,11,10,11,11,10,11,10,10,11,,,2290,14,337,2,,,12.1-14.0,20,18,11,27,31,30,32,1386,15,13,17,147,4,3,5,10232,31,3212:1,37,2677:1,43396,38849,47943,39,,32,,,,16061,22.0,20.0,99,0.6,40,0.2,135,0.8,2,0.0,246,1.5,15402,95.9,27,0.2,0.0,0.7,50.6,7056,43.5,
17161,Illinois,Rock Island,1863,362,345,379,67,51,39,64,94,7,6,8,11,10,11,10,10,11,10,10,11,248,201,18630,13,9892,7,44,10,8.1-10.0,69,7,5,9,32,31,33,14515,17,15,19,1493,4,3,6,9132,57,1760:1,59,1698:1,48024,45251,50797,45,45,33,3,2,5,146063,22.1,17.6,13510,9.2,809,0.6,3311,2.3,79,0.1,18164,12.4,107716,73.7,3651,2.6,2.3,3.0,50.8,16112,10.9,
17163,Illinois,St. Clair,3514,421,407,435,160,60,51,69,189,7,6,8,11,11,12,11,11,11,12,11,12,680,307,46930,17,39893,15,130,16,10.1-12.0,211,11,10,13,37,36,38,24962,15,14,17,2250,3,2,4,9648,56,1772:1,59,1703:1,50155,46634,53676,45,59,54,16,14,18,265729,24.1,13.8,79556,29.9,860,0.3,3637,1.4,274,0.1,10222,3.8,166206,62.5,1309,0.5,0.4,0.6,51.8,26343,9.8,
17165,Illinois,Saline,427,482,435,530,14,62,34,104,25,12,8,17,12,12,12,12,11,12,11,11,12,13,61,4010,16,4113,17,16,21,>20,24,14,9,20,33,32,34,2317,16,14,18,190,3,2,5,9231,98,1026:1,106,947:1,38329,34572,42086,51,44,45,,,,24612,21.7,19.2,983,4.0,107,0.4,142,0.6,17,0.1,410,1.7,22562,91.7,113,0.5,0.0,1.0,50.7,10878,43.7,
17167,Illinois,Sangamon,2379,354,339,368,116,62,51,74,153,9,8,10,10,10,11,10,10,10,10,9,10,223,134,28150,14,14002,7,95,16,10.1-12.0,160,12,10,13,32,31,33,15518,13,11,14,1378,3,2,4,9091,116,861:1,122,822:1,55371,52197,58545,39,58,51,6,5,7,198997,23.0,15.5,24224,12.2,492,0.2,3682,1.9,63,0.0,4348,2.2,162077,81.4,806,0.4,0.3,0.6,52.0,27895,14.1,
17169,Illinois,Schuyler,103,371,297,445,,,,,,,,,10,10,10,10,10,10,10,10,11,,,930,12,432,6,,,8.1-10.0,10,19,9,35,31,30,32,815,18,16,20,82,5,4,7,8641,68,1466:1,68,1466:1,47092,41583,52601,36,,,,,,7330,20.3,19.7,250,3.4,14,0.2,28,0.4,0,0.0,130,1.8,6880,93.9,30,0.4,0.0,1.5,47.3,4348,57.6,
17171,Illinois,Scott,74,386,300,488,,,,,,,,,10,10,10,10,10,11,10,9,10,,,720,14,51,1,,,10.1-12.0,,,,,31,29,32,488,16,14,18,60,5,4,6,9258,19,5204:1,19,5204:1,51584,45143,58025,33,,,,,,5204,22.3,18.6,24,0.5,10,0.2,12,0.2,0,0.0,62,1.2,5048,97.0,14,0.3,0.0,1.6,51.9,5355,100.0,
17173,Illinois,Shelby,238,282,244,320,,,,,,,,,10,10,10,10,10,10,10,10,11,,,2830,13,1309,6,,,10.1-12.0,35,22,16,31,31,30,32,1904,15,13,17,231,5,3,6,9424,23,4410:1,23,4410:1,48994,43937,54051,35,,25,,,,22048,21.4,20.6,84,0.4,46,0.2,70,0.3,7,0.0,225,1.0,21485,97.4,28,0.1,0.0,0.6,50.6,17383,77.7,
17175,Illinois,Stark,87,398,313,498,,,,,,,,,9,9,10,10,9,10,10,10,11,,,770,13,584,10,,,6.1-8.0,,,,,30,29,31,471,14,13,16,60,5,3,6,8458,34,2907:1,52,1938:1,50219,43958,56480,33,,,,,,5813,20.4,24.4,36,0.6,13,0.2,26,0.4,0,0.0,66,1.1,5608,96.5,10,0.2,0.0,1.4,50.7,5994,100.0,
17177,Illinois,Stephenson,561,325,297,353,15,36,20,59,21,6,4,9,11,10,11,11,10,11,12,11,12,40,101,7330,16,1257,3,16,11,8.1-10.0,38,11,8,16,33,32,34,3905,14,13,16,383,4,3,5,8020,39,2580:1,39,2580:1,48569,44505,52633,47,58,53,4,2,7,46435,21.9,20.5,4349,9.4,111,0.2,324,0.7,22,0.0,1644,3.5,38918,83.8,186,0.4,0.1,0.7,51.6,19129,40.1,
17179,Illinois,Tazewell,1566,337,320,354,50,40,29,52,62,5,4,7,9,9,9,9,9,10,9,8,9,56,49,16680,12,11695,9,60,15,12.1-14.0,81,9,7,11,31,30,32,9687,12,11,13,1082,3,2,4,9273,26,3877:1,26,3877:1,60490,57471,63509,29,72,36,3,2,4,135707,23.1,17.0,1694,1.2,425,0.3,1155,0.9,44,0.0,3032,2.2,127849,94.2,279,0.2,0.1,0.4,50.6,27645,20.4,
17181,Illinois,Union,300,442,389,494,11,73,37,131,,,,,11,10,11,11,10,11,11,10,11,8,53,2740,16,693,4,,,14.1-16.0,20,16,10,25,31,30,33,1911,18,16,20,175,5,3,6,9287,109,918:1,109,918:1,40957,36227,45687,58,73,30,,,,17447,21.0,19.9,176,1.0,117,0.7,62,0.4,6,0.0,897,5.1,16017,91.8,138,0.8,0.2,1.5,50.1,11730,65.9,
17183,Illinois,Vermilion,1218,428,403,453,65,83,64,105,70,9,7,11,11,11,12,11,11,11,11,10,11,99,148,13940,17,5609,7,37,15,16.1-18.0,77,14,11,17,34,33,35,7230,16,14,18,682,3,2,4,9165,89,1123:1,95,1049:1,42036,38920,45152,53,69,61,7,5,10,79728,24.0,17.4,10431,13.1,281,0.4,656,0.8,26,0.0,3733,4.7,63188,79.3,491,0.7,0.4,1.0,50.3,25513,31.3,
17185,Illinois,Wabash,196,457,391,523,,,,,,,,,10,10,11,10,10,10,10,9,10,,,1470,12,238,2,,,8.1-10.0,18,22,13,34,31,30,33,1039,15,13,17,104,4,3,5,8992,43,2310:1,43,2310:1,49385,44299,54471,37,,19,,,,11549,22.0,18.9,99,0.9,27,0.2,93,0.8,5,0.0,179,1.5,11024,95.5,38,0.3,0.0,1.2,50.6,4647,38.9,
17187,Illinois,Warren,199,322,275,368,,,,,,,,,11,11,11,11,10,11,10,10,11,5,33,2260,13,47,0,,,6.1-8.0,24,19,12,29,31,30,32,1735,18,16,20,212,5,4,7,9159,34,2979:1,34,2979:1,44180,39880,48480,47,63,59,,,,17874,21.6,18.4,379,2.1,88,0.5,313,1.8,25,0.1,1675,9.4,15218,85.1,505,3.0,2.0,4.1,51.2,8053,45.5,
17189,Illinois,Washington,168,321,271,371,,,,,,,,,9,9,10,10,9,10,9,9,10,7,56,1610,11,620,4,,,8.1-10.0,19,18,11,29,30,29,31,1099,13,11,14,124,4,3,5,9834,49,2048:1,56,1792:1,54683,48897,60469,29,,13,,,,14337,20.7,18.4,109,0.8,21,0.1,52,0.4,11,0.1,226,1.6,13795,96.2,59,0.4,0.0,1.0,49.9,10838,73.6,
17191,Illinois,Wayne,238,394,341,446,12,80,41,139,,,,,11,10,11,11,10,11,10,10,11,5,36,2200,13,1242,7,,,8.1-10.0,12,10,5,18,31,30,32,1581,17,14,19,181,5,3,6,8641,60,1654:1,66,1504:1,46839,43766,49912,38,72,53,,,,16543,22.5,19.8,89,0.5,41,0.2,114,0.7,2,0.0,218,1.3,15951,96.4,40,0.3,0.0,0.8,50.7,11721,69.9,
17193,Illinois,White,246,445,386,504,11,88,44,158,,,,,10,10,10,10,10,10,10,10,11,7,57,1920,13,2019,14,,,14.1-16.0,19,18,11,29,31,29,32,1181,14,13,16,130,4,3,5,9493,28,3594:1,28,3594:1,46927,41905,51949,41,,,,,,14374,21.7,21.8,64,0.4,49,0.3,39,0.3,7,0.0,193,1.3,13932,96.9,30,0.2,0.0,0.9,51.4,9097,62.0,
17195,Illinois,Whiteside,780,369,342,396,22,41,26,62,37,8,6,11,10,10,10,10,10,10,10,10,11,20,41,7010,12,2899,5,22,13,8.1-10.0,43,11,8,14,30,29,31,5090,15,13,17,568,4,3,5,9275,83,1210:1,83,1210:1,49895,46710,53080,41,39,31,3,1,5,56876,22.4,18.9,796,1.4,253,0.4,298,0.5,18,0.0,6697,11.8,48299,84.9,433,0.8,0.4,1.1,50.7,21845,37.3,
17197,Illinois,Will,5391,273,265,280,299,39,35,43,416,7,6,7,10,9,10,9,9,9,9,9,9,611,111,67050,10,39035,6,243,12,12.1-14.0,326,7,6,8,36,35,36,60390,15,13,16,7786,4,3,5,10868,41,2431:1,42,2372:1,75176,72391,77961,28,55,44,4,3,4,685419,26.7,11.2,77594,11.3,2897,0.4,36856,5.4,371,0.1,113470,16.6,447643,65.3,22090,3.5,3.2,3.7,50.4,26624,3.9,
17199,Illinois,Williamson,992,413,387,440,36,62,43,85,44,8,6,11,10,10,11,10,10,11,10,9,10,46,82,9610,14,4010,6,37,18,16.1-18.0,72,16,12,20,31,30,32,6298,16,14,18,528,3,2,5,10102,128,779:1,137,728:1,46322,41887,50757,45,46,43,4,2,6,67008,21.9,17.6,2801,4.2,273,0.4,638,1.0,20,0.0,1602,2.4,60763,90.7,370,0.6,0.3,0.9,50.3,23091,34.8,
17201,Illinois,Winnebago,3723,384,372,397,154,54,45,62,208,8,7,9,12,12,12,11,11,11,11,10,11,388,161,46950,16,18359,6,254,29,>20,220,11,9,12,34,33,34,29601,17,15,18,2870,4,3,5,9478,76,1312:1,79,1266:1,47708,44995,50421,57,53,44,7,6,8,288542,23.8,15.6,35693,12.4,1475,0.5,7574,2.6,139,0.0,34674,12.0,204317,70.8,7310,2.7,2.4,3.0,51.2,23368,7.9,
17203,Illinois,Woodford,368,283,253,313,19,48,29,75,,,,,9,9,9,9,9,9,9,8,9,12,37,4140,11,424,1,17,14,8.1-10.0,34,13,9,18,31,30,32,2228,10,9,11,349,3,2,5,8301,26,3919:1,26,3919:1,70127,63188,77066,18,80,35,,,,39187,24.6,16.3,252,0.6,105,0.3,257,0.7,10,0.0,693,1.8,37483,95.7,56,0.2,0.0,0.5,50.4,21221,54.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"^This data was updated on March 29, 2017. Please see http://www.countyhealthrankings.org/content/data-changes for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
