FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17021,Illinois,Christian,477,391,355,427,26,85,56,125,23,8,5,13,10,10,10,10,10,10,10,9,10,48,164,4950,14,893,3,16,16,12.1-14.0,53,22,16,29,32,31,33,2784,14,13,16,278,4,3,5,9801,30,3389:1,30,3389:1,46870,42259,51481,41,,48,,,,33892,21.2,18.6,542,1.6,70,0.2,229,0.7,11,0.0,545,1.6,32217,95.1,24,0.1,0.0,0.4,49.1,15121,43.5,
17023,Illinois,Clark,227,399,345,453,,,,,,,,,10,9,10,10,10,10,10,9,10,16,117,2240,14,450,3,12,25,16.1-18.0,28,24,16,35,31,30,32,1386,15,13,16,161,4,3,5,9211,31,3236:1,37,2697:1,50645,45525,55765,36,,,,,,16180,22.8,18.7,72,0.4,33,0.2,55,0.3,2,0.0,230,1.4,15665,96.8,5,0.0,0.0,0.5,50.8,9726,59.5,
17025,Illinois,Clay,206,429,368,490,12,96,50,168,,,,,11,10,11,11,10,11,10,10,11,6,52,2020,15,647,5,,,6.1-8.0,24,25,16,37,32,30,33,1226,15,13,17,129,4,3,5,10866,59,1690:1,59,1690:1,45709,41311,50107,40,,23,,,,13520,22.9,18.8,59,0.4,32,0.2,93,0.7,0,0.0,199,1.5,13021,96.3,10,0.1,0.0,0.7,50.7,8943,64.7,
17027,Illinois,Clinton,361,288,258,318,17,51,30,81,,,,,9,9,9,9,9,9,9,8,9,78,242,4030,11,1339,4,,,6.1-8.0,41,16,11,21,31,30,32,2600,12,10,13,311,4,3,5,8252,26,3786:1,26,3786:1,60556,56737,64375,26,53,32,,,,37857,21.5,16.0,1340,3.5,152,0.4,182,0.5,27,0.1,1168,3.1,34691,91.6,126,0.4,0.0,0.7,48.2,18412,48.8,
17029,Illinois,Coles,621,392,361,424,22,56,35,85,31,8,6,12,12,12,13,12,12,12,9,9,10,33,71,8960,17,3183,6,16,10,10.1-12.0,55,15,11,19,33,32,34,5255,16,14,19,341,3,2,4,9629,84,1185:1,88,1134:1,41319,36741,45897,44,53,42,3,2,6,53320,18.0,15.0,2121,4.0,135,0.3,552,1.0,18,0.0,1241,2.3,48558,91.1,142,0.3,0.0,0.5,51.7,13085,24.3,
17031,Illinois,Cook,52804,334,331,337,3003,62,59,64,3858,7,7,8,11,11,11,10,10,11,10,10,11,26465,608,761980,15,91537,2,1865,12,14.1-16.0,2261,6,6,7,34,34,35,774524,23,23,24,62867,5,4,6,10413,47,2115:1,49,2053:1,55058,54295,55821,61,79,54,11,10,11,5246456,22.6,12.9,1235918,23.6,39806,0.8,375797,7.2,3954,0.1,1310801,25.0,2254044,43.0,384052,7.9,7.7,8.0,51.5,2353,0.0,
17033,Illinois,Crawford,268,391,343,439,19,119,72,186,21,15,9,23,10,10,10,10,10,10,10,9,10,52,309,2720,14,1034,5,,,12.1-14.0,25,18,12,27,32,30,33,1552,14,12,16,157,4,3,5,9007,31,3232:1,36,2770:1,45889,41756,50022,39,,11,,,,19393,19.8,18.3,919,4.7,78,0.4,120,0.6,9,0.0,426,2.2,17710,91.3,110,0.6,0.1,1.1,48.4,11923,60.2,
17035,Illinois,Cumberland,122,309,252,365,,,,,,,,,10,10,11,10,10,11,10,9,10,,,1480,14,16,0,,,6.1-8.0,18,23,14,37,31,30,32,928,14,12,16,122,5,3,6,9454,46,2167:1,55,1806:1,49567,43644,55490,39,,35,,,,10833,22.8,17.6,47,0.4,16,0.1,78,0.7,2,0.0,113,1.0,10479,96.7,89,0.9,0.0,2.0,49.9,11048,100.0,
17037,Illinois,DeKalb,768,278,258,298,40,43,31,59,61,7,5,9,11,10,11,11,10,11,8,7,8,75,85,15350,15,12039,11,25,8,6.1-8.0,80,11,9,14,32,31,33,10350,16,14,18,1089,5,3,6,9233,30,3296:1,30,3296:1,56536,53109,59963,33,62,33,,,,105462,21.7,11.1,7652,7.3,436,0.4,2960,2.8,77,0.1,11466,10.9,81861,77.6,2453,2.5,1.9,3.0,50.5,21353,20.3,
17039,Illinois,De Witt,203,332,285,379,,,,,,,,,9,9,10,10,9,10,9,9,10,,,2130,13,197,1,,,14.1-16.0,20,17,11,27,30,29,32,1264,13,11,15,144,4,3,5,9487,37,2714:1,43,2326:1,55193,49816,60570,39,,21,,,,16284,21.6,18.1,116,0.7,37,0.2,85,0.5,6,0.0,374,2.3,15492,95.1,62,0.4,0.0,1.1,50.1,8074,48.8,
17041,Illinois,Douglas,211,322,278,367,10,49,23,90,,,,,10,10,10,10,10,10,9,9,10,,,2160,11,561,3,,,6.1-8.0,16,11,7,19,31,30,33,2361,20,18,23,350,7,5,8,9121,35,2841:1,40,2486:1,52526,47170,57882,26,,45,,,,19889,25.5,16.3,87,0.4,52,0.3,142,0.7,8,0.0,1458,7.3,17982,90.4,379,2.0,1.2,2.9,50.4,12315,61.6,
17043,Illinois,DuPage,6450,216,211,222,313,35,31,39,426,5,5,6,9,8,9,9,8,9,8,8,9,649,84,85560,9,36314,4,295,11,10.1-12.0,252,4,3,4,30,29,31,78030,13,13,14,9047,4,3,5,9755,47,2139:1,49,2059:1,80037,78007,82067,24,46,31,2,1,2,932708,23.4,13.5,45484,4.9,3804,0.4,106111,11.4,545,0.1,131700,14.1,635328,68.1,35527,4.1,3.9,4.3,51.0,436,0.0,
