FIPS,State,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Population,# not proficient in English,% not proficient in English,Female,Rural,% Diabetic,95% CI - Low,95% CI - High,Population,HIV rate,Sample Size,% Binge Drinking,95% CI - Low,95% CI - High,Physical Inactivity,95% CI - Low,95% CI - High,MPH No.,Population,MPH Rate,MPH Ratio,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free lunch,Population,Illiteracy,95% CI - Low,95% CI - High,Population,Liquor Stores,Liquor Store Rate,No. Drive Alone,Workers,% Drive Alone
17039,Illinois,De Witt,16034,23.7,16.4,1.1,0.2,0.5,0,1.8,15235,106,0.7,50.5,51.6,9,7,11,13771,,71,9,3,22,26,20,34,0,16272,0,16272:0,47645,42743,52547,1263,6702,19,30,12960,8.6,4.1,15.8,16272,1,6,6471,7846,83
17041,Illinois,Douglas,19169,26.2,15.9,0.9,0.3,0.6,0,5.5,17935,940,5.2,50.8,63,9,7,11,16021,,91,16,8,27,27,21,35,1,19313,5,19313:1,45359,41224,49494,1528,7328,21,22,15127,9.1,4.3,16.4,19313,0,0,6631,9204,72
17043,Illinois,DuPage,932541,24.7,11.4,4.8,0.3,10.1,0,12.6,864043,85691,9.9,50.4,0.1,8,7,9,762604,65,2483,18,16,21,18,16,20,578,927382,62,1604:01:00,77040,75119,78961,121521,332646,37,11,698431,6.6,3,12.3,927382,96,10,367874,467174,79
17045,Illinois,Edgar,18471,21.6,18.1,2.1,0.2,0.4,0,1.1,17664,168,1,50.8,52.4,10,8,12,16071,37,69,8,3,17,27,21,34,2,18624,11,9312:01:00,42522,38100,46944,1708,7626,22,28,14954,8.8,4.2,15.9,18624,2,11,6893,8569,80
17047,Illinois,Edwards,6444,21.1,18.7,0.2,0.1,0.4,0,0.8,6181,14,0.2,51.1,100,9,7,12,5592,,27,,,,28,21,36,0,6496,0,6496:00:00,41275,38512,44038,522,2729,19,25,5475,8,3.8,14.6,6496,1,15,2458,3198,77
17049,Illinois,Effingham,34424,24.7,15.6,0.5,0.2,0.4,0,1.5,32085,300,0.9,50.2,59.2,9,7,11,28213,35,129,,,,26,20,32,0,34274,0,34274:0,45192,41881,48503,2981,13097,23,20,26068,7.8,3.7,14.1,34274,11,32,14101,17156,82
17051,Illinois,Fayette,20935,22.4,16.1,3.8,0.2,0.2,0,1.1,19778,148,0.7,48.7,64.2,8,7,10,17750,456,84,,,,29,22,37,0,20957,0,20957:0,39534,35516,43552,2061,7885,26,36,15891,10.9,5.2,19.5,20957,4,19,7704,9681,80
17053,Illinois,Ford,13911,24.5,17.4,1,0.1,0.6,0,2.5,13073,112,0.9,51.4,42.6,9,7,12,11823,,68,7,3,16,26,20,33,1,13943,7,13943:1,51313,46131,56495,1375,5434,25,24,10809,7.8,3.7,14.2,13943,2,14,5215,6767,77
17055,Illinois,Franklin,39312,22.6,18.7,0.8,0.2,0.3,0,1,36916,111,0.3,51.5,46.6,10,8,12,33289,54,133,12,7,20,29,22,36,1,39288,3,39288:1,34456,31341,37571,3965,15450,26,40,31088,8.6,4.1,15.8,39288,4,10,12577,14876,85
17057,Illinois,Fulton,36652,20.8,17.9,4,0.3,0.3,0,1.5,34874,662,1.9,48.3,53.9,9,7,11,31571,212,144,14,8,23,29,22,36,2,36714,5,18357:1,40135,36779,43491,3541,14343,25,31,28644,8.9,4.3,16,36714,2,5,12405,15236,81
