FIPS,State,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Population,# not proficient in English,% not proficient in English,Female,Rural,% Diabetic,95% CI - Low,95% CI - High,Population,HIV rate,Sample Size,% Binge Drinking,95% CI - Low,95% CI - High,Physical Inactivity,95% CI - Low,95% CI - High,MPH No.,Population,MPH Rate,MPH Ratio,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free lunch,Population,Illiteracy,95% CI - Low,95% CI - High,Population,Liquor Stores,Liquor Store Rate,No. Drive Alone,Workers,% Drive Alone
17161,Illinois,Rock Island,146826,22.3,16,8.2,0.4,2,0,10.8,137110,5867,4.3,51.1,11.2,9,8,11,123200,134,544,17,13,22,26,22,31,31,146661,21,4731:01:00,45606,42455,48757,16778,58798,29,36,113536,9.2,4.4,16.4,146661,6,4,56360,67385,84
17163,Illinois,St. Clair,263617,25.3,12.6,29.6,0.3,1.2,0.1,2.9,242746,3057,1.3,52.2,10.6,9,8,11,214372,209,785,17,14,21,29,25,33,30,262131,11,8738:01:00,47876,45332,50420,32324,99153,33,38,193792,8.5,4,15.6,262131,15,6,97138,119081,82
17165,Illinois,Saline,25738,23.4,19.4,4.7,0.3,0.3,0,1.4,24336,231,0.9,51.2,36.6,10,8,12,22117,50,87,5,2,14,28,22,36,3,25826,12,8609:01:00,33812,30401,37223,3047,10875,28,41,20065,8.4,3.9,15.3,25826,4,15,8184,10355,79
17167,Illinois,Sangamon,195716,23.6,14,11.1,0.2,1.4,0,1.5,181434,2039,1.1,52.1,14.6,10,8,12,161486,97,708,16,13,20,26,22,30,105,194759,54,1855:01:00,53408,51281,55535,22198,80288,28,32,148014,6.5,3.8,11.1,194759,11,6,80226,96023,84
17169,Illinois,Schuyler,6730,21.6,20.3,1.4,0.2,0.2,0,1.6,6552,119,1.8,50,54.9,9,7,12,5978,,41,,,,27,20,34,3,6861,44,2287:01:00,43053,38165,47941,468,2870,16,23,5591,9.1,4.3,16.3,6861,2,29,2606,3351,78
17171,Illinois,Scott,5193,22.7,18.4,0.2,0.2,0.1,0,0.4,4936,8,0.2,50.8,100,9,7,12,4417,,24,,,,28,21,36,0,5199,0,5199:00:00,45456,41357,49555,378,2190,17,23,4336,9.1,4.3,16.4,5199,0,0,2026,2612,78
17173,Illinois,Shelby,21803,22.5,18.8,0.7,0.2,0.3,0,0.9,20620,217,1.1,50.2,77.6,9,7,11,18487,,94,9,4,18,27,21,35,1,21793,5,21793:1,46378,42441,50315,1919,8816,22,24,17704,8.6,4.1,15.6,21793,1,5,8380,10461,80
17175,Illinois,Stark,6019,24,20.3,0.3,0.2,0.2,0,1.6,5721,13,0.2,51.4,100,10,7,12,5215,,35,,,,27,21,35,0,6074,0,6074:00:00,45357,40240,50474,459,2365,19,26,4829,7.8,3.7,14.3,6074,0,0,1941,2715,72
17177,Illinois,Stephenson,46537,22.8,18.6,8.3,0.2,0.8,0.1,2.5,44097,498,1.1,51.7,39.1,9,8,11,39357,69,184,16,10,24,28,23,35,4,46598,9,11650:1,43247,39871,46623,5769,18957,30,33,37314,8.4,4,15.2,46598,3,6,17062,21825,78
17179,Illinois,Tazewell,132466,23.2,15.7,1.4,0.3,0.7,0,1.6,122595,814,0.7,50.5,18.8,9,7,11,109859,39,435,14,11,20,25,21,31,14,131493,11,9392:01:00,55964,52675,59253,11272,52145,22,23,99295,6.8,3.2,12.6,131493,10,8,53331,61743,86
17181,Illinois,Union,18005,21.9,17.9,1.4,0.4,0.4,0,4,17117,320,1.9,51.1,62.7,9,7,11,15488,39,57,11,5,24,28,21,36,7,18042,39,2577:01:00,39090,35003,43177,1605,6889,23,40,13939,8.9,4.2,16.2,18042,1,6,5782,7073,82
17183,Illinois,Vermilion,80067,24.2,16.7,12.1,0.3,0.7,0,3.8,75480,1118,1.5,50.5,29.6,10,8,12,67322,153,300,16,11,23,30,24,36,19,80453,24,4234:01:00,41292,38726,43858,8166,31261,26,46,62456,10,4.8,17.9,80453,11,14,27387,33860,81
17185,Illinois,Wabash,11997,21.7,17.7,0.7,0.2,0.6,0.1,1,11529,51,0.4,50.8,39.5,9,7,11,10353,,46,,,,26,20,33,0,12100,0,12100:0,43642,39515,47769,976,4921,20,27,10014,7,3.3,12.9,12100,2,17,4519,5507,82
17187,Illinois,Warren,17409,21.4,17.2,2.3,0.2,0.6,0.1,6.1,16607,380,2.3,51.3,46,9,7,11,15119,,71,,,,27,21,34,0,17411,0,17411:0,43558,38634,48482,1914,6786,28,32,13767,8.5,4,15.5,17411,2,11,6051,7920,76
17189,Illinois,Washington,14560,22.7,16.1,1,0.3,0.2,0,1.3,13861,207,1.5,50.2,79.4,9,7,11,12474,,66,,,,28,21,35,1,14668,7,14668:1,52103,46418,57788,1365,5974,23,19,11853,7.6,3.6,13.9,14668,1,7,6007,7449,81
17191,Illinois,Wayne,16294,22.3,19.3,0.8,0.3,0.5,0,0.8,15533,80,0.5,50.8,69.2,9,7,11,14043,43,68,12,6,22,26,20,33,1,16495,6,16495:1,38114,34232,41996,1671,7010,24,32,13379,8.8,4.2,16.1,16495,3,18,5854,7317,80
17193,Illinois,White,14661,21.2,20.4,0.8,0.4,0.2,0,1,13939,45,0.3,52,63.3,10,8,12,12574,48,71,,,,28,22,36,0,14726,0,14726:0,40118,35809,44427,1177,6411,18,31,12081,9,4.3,16.2,14726,2,14,5522,6914,80
17195,Illinois,Whiteside,58961,23.3,17.2,1.6,0.3,0.5,0,10.2,55461,1149,2.1,50.8,35.2,9,7,11,49550,38,227,20,13,28,26,21,32,5,59050,9,11810:1,47045,42729,51361,6267,23246,27,30,46243,9.2,4.4,16.8,59050,6,10,22589,27208,83
17197,Illinois,Will,685251,28.8,8.8,11.2,0.3,4,0,14.9,613102,44956,7.3,49.8,6.6,8,7,9,532936,95,1531,21,19,24,23,21,27,135,679069,20,5030:01:00,76561,74521,78601,79675,210153,38,18,426939,7.1,3.2,13.1,679069,74,11,258078,316362,82
17199,Illinois,Williamson,65169,22,16.4,3.5,0.3,0.7,0,1.5,60294,424,0.7,51.2,35.7,9,7,11,54156,83,215,14,9,22,26,21,32,13,64605,20,4970:01:00,38721,35278,42164,6708,25372,26,34,48896,8,3.7,14.4,64605,10,15,23812,27433,87
17201,Illinois,Winnebago,299702,25,13.4,11.6,0.4,2.1,0,10.5,275620,14899,5.4,50.8,8.3,9,8,11,244980,134,1011,15,12,18,25,22,29,56,299489,19,5348:01:00,47646,45396,49896,36767,107902,34,47,214988,9.6,4.6,17.2,299489,23,8,112668,133453,84
17203,Illinois,Woodford,38862,25.2,14.3,1.1,0.2,0.5,0,1.4,35669,241,0.7,50.4,59.2,8,7,10,31747,28,162,19,11,29,24,19,30,1,38516,3,38516:1,64944,59305,70583,2871,13796,21,13,27510,6.3,3,11.7,38516,1,3,15740,18740,84
