,County,Restaurant Count,Year,ZIP,FIPS,CountyName,St,Name,Lat,Long,Enc_ZIP,Pops,Area,PopDensity
57,Marion,26,2011,62892,17121,Marion,IL,62892 Vernon,38.817022,-88.760731,,0,0,0
58,Marshall,5,2011,61565,17123,Marshall,IL,61565 Sparland,41.109821,-89.048437,61421.0,0,0,0
59,Mason,10,2011,62682,17125,Mason,IL,62682 San Jose,40.376385,-89.628651,,0,0,0
60,Massac,7,2011,62960,17127,Massac,IL,62960 Metropolis,37.296361,-88.587151,,0,0,0
61,McDonough,28,2011,62326,17109,McDonough,IL,62326 Colchester,40.616264,-90.465189,61455.0,0,0,0
62,McHenry,198,2011,60297,17111,McHenry,IL,60297 McHenry,42.470726,-88.203314,60050.0,0,0,0
63,McLean,111,2011,61799,17113,McLean,IL,61799 Bloomington,40.742824,-88.497647,61761.0,0,0,0
64,Menard,2,2011,62688,17129,Menard,IL,62688 Tallula,40.083188,-89.723984,62675.0,0,0,0
65,Mercer,6,2011,61486,17131,Mercer,IL,61486 Viola,41.317894,-90.478601,61281.0,0,0,0
66,Monroe,17,2011,62298,17133,Monroe,IL,62298 Waterloo,38.442362,-89.994825,62277.0,0,0,0
67,Montgomery,19,2011,62572,17135,Montgomery,IL,62572 Waggoner,39.443564,-89.162091,62075.0,0,0,0
68,Morgan,23,2011,62695,17137,Morgan,IL,62695 Woodson,39.851707,-89.954955,62650.0,0,0,0
69,Moultrie,3,2011,61951,17139,Moultrie,IL,61951 Sullivan,39.728904,-88.496654,,0,0,0
70,Ogle,29,2011,61091,17141,Ogle,IL,61091 Woosung,42.153065,-88.949483,61068.0,0,0,0
71,Peoria,116,2011,61656,17143,Peoria,IL,61656 Peoria,40.945794,-89.502597,61615.0,0,0,0
72,Perry,5,2011,63673,29157,Perry,IL,63673 Saint Mary,38.138408,-89.228906,,0,0,0
73,Piatt,5,2011,61936,17147,Piatt,IL,61936 La Place,40.207082,-88.484268,61818.0,0,0,0
74,Pike,7,2011,62370,17149,Pike,IL,62370 Rockport,39.799884,-90.636452,,0,0,0
75,Pope,0,2011,62938,17151,Pope,IL,62938 Golconda,37.505113,-88.586594,,0,0,0
76,Pulaski,2,2011,62996,17153,Pulaski,IL,62996 Villa Ridge,37.31006,-88.933525,62992.0,0,0,0
77,Putnam,0,2011,61560,17155,Putnam,IL,61560 Putnam,41.264465,-89.182282,61326.0,0,0,0
78,Randolph,18,2011,62297,17157,Randolph,IL,62297 Walsh,38.211374,-89.603773,62286.0,0,0,0
79,Richland,14,2011,62868,17159,Richland,IL,62868 Noble,38.833301,-87.960829,,0,0,0
80,Rock Island,109,2011,61299,17161,Rock Island,IL,61299 Rock Island,41.705399,-90.227873,61284.0,0,0,0
81,Saline,17,2011,62987,17165,Saline,IL,62987 Stonefort,37.849758,-88.402549,62946.0,0,0,0
82,Sangamon,159,2011,62796,17167,Sangamon,IL,62796 Springfield,39.952561,-89.236188,62712.0,0,0,0
83,Schuyler,3,2011,62681,17169,Schuyler,IL,62681 Rushville,40.157523,-90.348339,,0,0,0
84,Scott,2,2011,62694,17171,Scott,IL,62694 Winchester,39.738854,-90.331335,62694.0,0,0,0
85,Shelby,6,2011,62571,17173,Shelby,IL,62571 Tower Hill,39.626022,-88.594708,62414.0,0,0,0
86,Stark,0,2011,61491,17175,Stark,IL,61491 Wyoming,41.117097,-89.706405,61421.0,0,0,0
87,Stephenson,29,2011,61089,17177,Stephenson,IL,61089 Winslow,42.475806,-89.40112,61048.0,0,0,0
88,St. Clair,169,2011,62289,17163,St. Clair,IL,62289 Summerfield,38.655208,-89.749112,62258.0,0,0,0
89,Tazewell,86,2011,61759,17179,Tazewell,IL,61759 Minier,40.704668,-89.31409,61554.0,0,0,0
90,Union,11,2011,62998,17181,Union,IL,62998 Wolf Lake,37.572031,-89.171709,,0,0,0
91,Vermilion,44,2011,61883,17183,Vermilion,IL,61883 Westville,40.466769,-87.608651,61844.0,0,0,0
92,Wabash,9,2011,62863,17185,Wabash,IL,62863 Mount Carmel,38.561747,-87.742418,62863.0,0,0,0
93,Warren,7,2011,61478,17187,Warren,IL,61478 Smithshire,41.062668,-90.505305,,0,0,0
94,Washington,7,2011,62877,17189,Washington,IL,62877 Richview,38.456731,-89.163946,62877.0,0,0,0
95,Wayne,7,2011,62895,17191,Wayne,IL,62895 Wayne City,38.581924,-88.204202,,0,0,0
96,White,9,2011,62887,17193,White,IL,62887 Springerton,38.241455,-88.041138,62821.0,0,0,0
97,Whiteside,31,2011,61283,17195,Whiteside,IL,61283 Tampico,41.862918,-89.689498,61081.0,0,0,0
98,Will,441,2011,60586,17197,Will,IL,60586 Plainfield,41.715613,-87.60351,60436.0,0,0,0
99,Williamson,42,2011,62974,17199,Williamson,IL,62974 Pittsburg,37.829687,-88.802417,62948.0,0,0,0
100,Winnebago,195,2011,61132,17201,Winnebago,IL,61132 Loves Park,42.488968,-88.963462,61111.0,0,0,0
