FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
17019,Illinois,Champaign,80.7,80.3,81.2,73.4,104.3,81.2,1720,291,277,305,552,146,276,96,61,49,74,110,,51,112,7,6,8,21,,4,12,11,12,11,11,12,9,7,12,368,206,32340,16,9045,4,90,14,113,8,6,9,29,28,30,9035,7,6,8,1251,3,2,4,122,821:1,2,51466,48029,54903,30339,38452,57125,52,47,38,3,3,4,65,6,5,8,44405,55,54,55,13773,18,17,19,209399,19.0,12.4,27241,13.0,756,0.4,22738,10.9,218,0.1,12501,6.0,141164,67.4,3767,2,2,2,50.1,25558,12.7
17021,Illinois,Christian,77.5,76.5,78.4,,,,485,386,350,422,,,,14,50,28,84,,,,24,10,6,14,,,,11,11,12,11,11,11,11,8,15,32,112,3960,12,1063,3,24,24,50,21,16,28,31,29,32,1341,7,6,8,165,2,2,3,36,2759:1,11,52817,48269,57365,14167,123047,50795,55,75,44,,,,17,10,6,16,10449,75,73,77,1021,8,6,9,33102,20.5,19.5,518,1.6,84,0.3,207,0.6,13,0.0,527,1.6,31483,95.1,27,0,0,0,49.1,15121,43.5
17023,Illinois,Clark,77.9,76.6,79.2,,,,222,377,325,429,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,11,7,14,19,142,1940,12,510,3,,,19,17,10,26,31,30,33,562,6,5,7,94,3,2,3,38,2628:1,,55205,49038,61372,,,,54,,12,,,,14,18,10,29,5061,74,72,77,470,7,5,10,15767,23.0,19.1,75,0.5,37,0.2,61,0.4,5,0.0,246,1.6,15205,96.4,30,0,0,1,50.5,9726,59.5
17025,Illinois,Clay,77.3,76.0,78.6,,,,202,377,323,431,,,,,,,,,,,,,,,,,,12,11,12,11,11,12,10,7,14,6,54,1580,12,463,3,,,21,22,14,34,31,30,32,544,7,6,8,80,3,2,3,83,1206:1,,45028,40297,49759,,58056,47479,52,,26,,,,,,,,4447,79,76,82,488,9,6,12,13269,22.7,19.9,57,0.4,32,0.2,102,0.8,0,0.0,200,1.5,12764,96.2,80,1,0,2,50.6,8943,64.7
17027,Illinois,Clinton,79.6,78.7,80.5,,,,398,295,265,324,,,,12,37,19,65,,,,,,,,,,,10,10,10,10,10,10,10,7,14,44,137,3310,9,1828,5,13,11,42,16,11,21,31,30,32,1193,5,5,6,178,2,1,3,53,1881:1,7,65586,61118,70054,62474,47019,65122,34,62,32,,,,,,,,11440,81,79,82,1186,9,7,10,37614,21.4,16.5,1315,3.5,146,0.4,194,0.5,25,0.1,1180,3.1,34405,91.5,145,0,0,1,48.1,18412,48.8
17029,Illinois,Coles,78.2,77.4,79.0,74.1,,78.1,622,364,334,394,,,,23,61,39,91,,,,28,8,5,11,,,,13,13,14,13,12,13,9,6,12,35,76,8010,15,3494,6,15,10,49,13,10,17,31,30,32,2569,8,7,10,204,2,1,3,117,852:1,,46012,40861,51163,14728,31116,43724,54,45,44,3,2,5,15,6,3,9,12996,62,60,64,2780,14,12,16,51979,18.0,16.3,2111,4.1,128,0.2,595,1.1,87,0.2,1349,2.6,47075,90.6,294,1,0,1,51.6,13085,24.3
17031,Illinois,Cook,79.3,79.3,79.4,73.4,85.6,80.7,56956,338,335,340,583,219,281,2749,59,57,61,111,44,37,3250,7,7,7,13,5,4,11,11,11,11,10,11,9,9,10,25623,586,659990,13,88307,2,3046,19,2168,6,6,6,33,33,34,386800,12,11,12,33244,3,2,3,71,1410:1,8,61401,60617,62185,36059,49201,76699,64,78,52,12,12,13,3634,14,13,14,1112383,57,56,57,366693,19,19,20,5211263,22.0,14.3,1207621,23.2,38864,0.7,398760,7.7,3878,0.1,1327941,25.5,2203173,42.3,355487,7,,,51.4,2353,0.0
17033,Illinois,Crawford,77.4,76.3,78.6,,,,268,366,321,411,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,10,7,14,30,180,2170,11,865,4,,,35,26,18,36,31,30,32,731,7,6,8,112,3,2,4,63,1580:1,,49712,45605,53819,113500,,47560,44,,38,,,,,,,,5979,78,71,85,709,10,7,12,18961,19.9,18.6,935,4.9,70,0.4,118,0.6,9,0.0,443,2.3,17228,90.9,141,1,0,1,47.8,11923,60.2
17035,Illinois,Cumberland,78.8,77.1,80.4,,,,135,324,267,381,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,11,7,15,7,77,1230,11,,,,,14,18,10,31,30,29,32,458,7,6,8,76,3,2,4,37,2727:1,,55622,49874,61370,,,,40,,25,,,,,,,,3389,79,76,82,302,7,5,10,10908,22.4,19.2,48,0.4,19,0.2,92,0.8,10,0.1,115,1.1,10532,96.6,0,0,0,1,50.0,11048,100.0
17037,Illinois,DeKalb,79.9,79.3,80.4,75.1,86.4,80.0,881,293,273,313,471,187,291,37,41,29,56,,73,27,47,6,4,7,,,,12,12,12,12,11,12,8,6,10,61,69,13560,13,13224,13,45,14,61,8,6,11,29,28,30,5257,8,7,9,609,3,2,3,42,2380:1,5,60856,55716,65996,22042,46656,62596,41,55,42,2,1,3,31,6,4,8,21139,56,55,58,5954,16,15,18,104733,21.6,12.2,7977,7.6,463,0.4,2905,2.8,76,0.1,11691,11.2,80385,76.8,1694,2,1,2,50.5,21353,20.3
