FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
17079,Illinois,Jasper,79.0,77.1,80.9,,,,119,333,271,396,,,,,,,,,,,,,,,,,,10,10,11,10,10,11,10,7,14,,,880,9,388,4,,,13,19,10,33,29,28,30,412,7,6,9,66,3,2,4,52,1916:1,,55240,49549,60931,,,,41,,11,,,,,,,,3036,82,79,84,328,9,5,13,9578,22.7,19.3,19,0.2,20,0.2,36,0.4,2,0.0,156,1.6,9289,97.0,29,0,0,1,49.7,6775,69.9
17081,Illinois,Jefferson,76.7,75.8,77.6,72.3,,77.0,582,415,380,450,528,,408,26,77,50,113,,,,26,8,5,12,,,,12,12,12,12,11,12,10,7,14,41,127,5360,14,3334,9,25,22,55,20,15,27,31,30,33,1482,7,6,8,225,3,2,3,84,1193:1,7,50622,47461,53783,29830,23750,47234,62,67,53,4,2,7,20,10,6,16,11179,73,72,75,1632,11,9,13,38179,22.4,18.5,3376,8.8,133,0.3,489,1.3,13,0.0,991,2.6,32576,85.3,92,0,0,1,48.4,22819,58.8
17083,Illinois,Jersey,76.4,75.2,77.6,,,,345,415,369,462,,,,10,54,26,98,,,,,,,,,,,10,10,11,10,10,11,10,7,14,9,47,2170,10,967,4,26,39,24,15,10,23,30,29,31,746,6,5,7,109,2,1,3,32,3134:1,,58928,51602,66254,,62702,56411,48,,73,,,,14,13,7,21,7179,81,79,84,816,10,7,12,21941,20.4,19.1,156,0.7,81,0.4,154,0.7,6,0.0,315,1.4,20992,95.7,101,0,0,1,51.1,13922,60.6
17085,Illinois,Jo Daviess,80.4,79.1,81.7,,,,267,279,241,318,,,,,,,,,,,,,,,,,,10,10,10,10,10,11,12,8,15,14,73,2060,9,1400,6,,,35,23,16,31,27,26,29,888,7,6,9,141,3,2,4,28,3599:1,,51866,46071,57661,19792,49063,55979,31,,28,,,,,,,,7677,78,77,80,887,9,7,11,21594,19.5,27.2,138,0.6,68,0.3,126,0.6,12,0.1,644,3.0,20439,94.7,115,1,0,1,50.1,16462,72.6
17087,Illinois,Johnson,79.1,77.5,80.7,,,,184,351,298,405,,,,,,,,,,,,,,,,,,11,11,12,11,10,11,10,7,13,36,321,1610,13,1810,14,,,11,12,6,22,31,30,33,429,7,6,8,76,3,2,4,47,2150:1,,49763,44528,54998,,,,46,,27,,,,,,,,3655,81,79,84,425,10,7,13,12900,18.0,20.5,1209,9.4,41,0.3,31,0.2,4,0.0,431,3.3,11071,85.8,6,0,0,1,43.3,12582,100.0
17089,Illinois,Kane,81.6,81.3,81.9,77.3,89.0,81.0,4151,242,234,249,427,173,255,210,37,32,42,89,40,30,264,5,5,6,14,5,4,10,10,11,10,10,10,9,7,10,317,74,29810,6,19688,4,192,12,215,6,5,7,32,31,33,38604,12,11,13,4971,3,3,4,64,1563:1,5,75739,73413,78065,47717,53358,87175,44,47,43,2,2,3,121,5,4,5,128974,73,73,74,24153,14,13,15,534667,25.9,13.1,28503,5.3,5530,1.0,23130,4.3,427,0.1,171880,32.1,304150,56.9,37260,8,7,8,50.2,18335,3.6
17091,Illinois,Kankakee,76.6,76.1,77.2,72.6,85.3,77.0,1573,416,395,437,569,207,406,69,66,51,83,127,75,43,86,9,7,11,19,,7,12,11,12,11,11,12,9,7,12,118,128,14500,13,5215,5,68,21,110,14,12,17,32,31,33,5259,8,7,9,727,3,2,4,80,1246:1,9,57706,53740,61672,29046,46952,62759,47,59,54,8,6,10,58,11,8,14,27511,68,67,70,5485,14,13,15,109605,23.2,16.4,16163,14.7,455,0.4,1144,1.0,51,0.0,11613,10.6,78695,71.8,1522,1,1,2,50.7,27746,24.5
17093,Illinois,Kendall,81.6,81.0,82.3,79.1,86.6,81.3,839,241,224,257,319,165,248,54,37,28,49,,50,32,66,6,5,7,,,,9,9,10,9,9,10,9,7,12,33,34,6860,6,3484,3,52,14,56,7,5,9,31,30,32,4803,6,5,7,741,2,1,3,29,3411:1,,97039,86332,107746,81579,74716,95216,24,17,16,2,1,3,22,4,2,5,32645,82,80,84,4674,12,10,14,126218,28.8,9.9,8765,6.9,646,0.5,3947,3.1,83,0.1,23801,18.9,87590,69.4,3728,3,2,4,50.4,11955,10.4
17095,Illinois,Knox,76.8,76.1,77.6,72.1,83.1,76.7,828,420,390,450,603,,424,29,72,48,103,200,,58,30,8,5,11,,,,12,12,13,12,12,12,11,8,15,68,154,7130,14,3586,7,20,13,42,12,8,16,30,29,31,1975,7,6,8,219,2,1,3,77,1298:1,9,44686,40941,48431,16250,40721,43859,55,45,42,3,2,5,19,7,4,12,13862,66,64,68,2054,10,9,12,50638,19.6,21.0,4010,7.9,206,0.4,469,0.9,14,0.0,2947,5.8,41978,82.9,286,1,0,1,49.6,12870,24.3
17097,Illinois,Lake,81.6,81.4,81.8,76.8,86.6,81.2,5634,242,235,248,445,184,249,240,34,30,39,87,34,27,269,5,4,5,12,4,4,10,10,10,10,9,10,7,6,9,755,130,47730,7,40861,6,261,12,291,6,5,7,32,31,33,38480,9,8,10,5276,3,2,4,63,1595:1,5,86242,82496,89988,43537,54087,94177,33,57,36,3,2,3,183,5,4,6,179525,73,73,74,33430,14,13,15,703520,24.4,13.7,48142,6.8,6073,0.9,56073,8.0,700,0.1,153833,21.9,433635,61.6,32276,5,5,5,50.0,8915,1.3
17099,Illinois,LaSalle,77.1,76.6,77.7,73.6,84.2,76.9,1580,393,372,413,589,232,404,52,54,40,71,,,,52,6,5,8,,,,11,11,12,11,11,11,10,7,13,55,58,12190,11,6950,6,83,25,112,14,12,17,31,29,32,4625,7,6,8,556,2,2,3,50,2001:1,8,56854,54223,59485,,48629,56061,50,50,33,1,1,3,43,8,6,10,32306,73,71,74,5160,12,11,13,110067,21.5,18.5,2887,2.6,407,0.4,1036,0.9,35,0.0,10792,9.8,93889,85.3,1108,1,1,1,49.5,34422,30.2
17101,Illinois,Lawrence,76.0,74.8,77.3,71.9,,75.7,245,430,375,485,,,,,,,,,,,,,,,,,,12,12,13,12,11,12,10,7,13,11,77,2410,15,878,5,,,25,22,14,32,33,32,34,618,8,6,9,83,3,2,4,37,2695:1,,45235,40867,49603,,52639,45827,56,,45,,,,,,,,4459,71,67,75,467,8,5,11,16168,18.8,17.0,1640,10.1,62,0.4,76,0.5,5,0.0,630,3.9,13642,84.4,131,1,0,1,43.6,9766,58.0
17103,Illinois,Lee,78.7,77.7,79.6,84.9,86.3,78.4,477,353,320,386,,,,18,65,39,103,,,,,,,,,,,11,11,11,11,10,11,10,7,13,31,105,3600,10,1209,3,14,14,33,14,9,19,30,29,31,1173,6,5,7,181,3,2,3,47,2150:1,,59450,54964,63936,,52206,58516,44,52,35,,,,11,6,3,11,9905,74,71,76,1126,9,7,10,34406,19.9,19.1,1810,5.3,118,0.3,282,0.8,15,0.0,2119,6.2,29723,86.4,274,1,0,1,47.0,19173,53.2
17105,Illinois,Livingston,77.2,76.3,78.1,76.5,,76.9,527,404,368,440,,,,18,57,34,90,,,,21,7,4,11,,,,11,11,12,11,10,11,9,7,12,77,246,4150,11,952,2,27,25,45,17,13,23,30,29,31,1323,7,6,8,193,2,2,3,63,1588:1,,55003,50056,59950,,28889,55623,43,51,18,4,2,7,17,9,5,15,10432,73,71,74,1671,12,10,14,36518,21.4,18.5,1665,4.6,106,0.3,254,0.7,6,0.0,1702,4.7,32405,88.7,162,0,0,1,49.6,15893,40.8
17107,Illinois,Logan,77.0,76.0,78.0,72.9,,76.5,434,415,375,455,,,,15,66,37,110,,,,,,,,,,,11,11,11,11,10,11,10,7,14,58,227,3650,12,3126,10,18,20,22,11,7,16,31,30,32,837,6,5,7,126,2,1,3,55,1828:1,8,56838,51632,62044,47500,59352,59149,49,,19,,,,13,9,5,15,8016,73,71,75,785,7,6,9,29245,19.2,17.8,2403,8.2,109,0.4,226,0.8,6,0.0,1007,3.4,25170,86.1,56,0,0,1,49.2,12081,39.9
17109,Illinois,McDonough,78.0,77.0,79.1,75.9,,78.2,347,352,313,391,,,,11,53,26,94,,,,,,,,,,,12,12,13,12,12,12,9,7,13,18,65,4900,16,2195,7,,,24,11,7,16,31,30,33,1327,8,6,9,145,3,2,4,58,1712:1,,44524,39887,49161,,,,45,56,44,,,,10,6,3,12,7659,67,65,68,1379,13,10,15,30823,16.8,17.1,1629,5.3,108,0.4,735,2.4,5,0.0,853,2.8,27088,87.9,157,1,0,1,50.7,9622,29.5
17111,Illinois,McHenry,80.3,80.0,80.7,81.3,93.6,79.8,2870,270,260,280,233,190,284,84,28,22,35,,32,27,86,4,3,5,,4,4,10,10,10,10,9,10,10,8,13,108,42,21010,7,21858,7,186,20,195,9,8,10,30,29,31,12837,7,6,8,1905,2,2,3,41,2415:1,5,86450,82218,90682,73250,60787,84424,41,51,24,1,1,2,78,5,4,6,88011,79,78,80,13060,12,11,13,309122,23.9,14.0,4600,1.5,1440,0.5,9174,3.0,166,0.1,40554,13.1,250527,81.0,6758,2,2,3,50.2,30501,9.9
17113,Illinois,McLean,80.3,79.8,80.7,77.8,98.7,80.1,1455,284,269,298,394,,289,80,53,42,66,104,,42,110,8,6,9,21,,6,11,10,11,11,10,11,8,6,10,161,111,21020,12,16606,10,79,15,82,7,5,8,32,31,33,5441,5,4,6,790,2,1,3,75,1336:1,4,68895,64517,73273,29778,41903,68217,36,40,33,2,1,3,35,4,3,6,42861,65,64,66,7752,12,11,13,172290,21.8,12.8,13230,7.7,532,0.3,9079,5.3,96,0.1,8521,4.9,137411,79.8,1487,1,1,1,51.4,27974,16.5
17115,Illinois,Macon,77.5,77.0,78.1,74.3,88.4,78.0,1580,401,380,422,522,,384,68,71,55,90,128,,48,77,8,7,10,15,,5,12,11,12,12,11,12,10,8,14,132,146,16720,15,8168,7,55,17,84,11,9,14,32,31,33,4180,7,6,8,526,2,1,3,126,795:1,9,51828,48625,55031,24089,48750,52787,43,54,43,6,5,8,52,10,7,13,30998,70,69,71,4869,11,10,12,105801,22.2,19.5,18254,17.3,281,0.3,1285,1.2,44,0.0,2426,2.3,80768,76.3,290,0,,,52.1,16905,15.3
17117,Illinois,Macoupin,77.0,76.2,77.9,,,,668,385,354,416,,,,26,66,43,97,,,,28,9,6,13,,,,11,11,11,11,11,11,10,7,14,26,66,5120,11,2954,6,25,18,50,15,11,20,31,30,32,1829,7,6,8,255,3,2,3,55,1818:1,5,51756,46331,57181,,76094,53769,50,62,33,3,2,6,21,9,6,14,14310,77,75,78,1749,10,8,11,45446,21.2,19.6,425,0.9,162,0.4,160,0.4,15,0.0,579,1.3,43670,96.1,94,0,0,0,50.5,27949,58.5
17119,Illinois,Madison,77.0,76.6,77.3,71.4,92.2,77.2,3782,404,391,418,622,139,397,133,57,47,66,144,,46,124,6,5,7,15,,4,12,11,12,11,11,11,10,8,13,204,91,32630,12,32492,12,241,30,221,12,10,13,33,32,34,10222,6,5,7,1396,2,2,3,62,1609:1,6,58077,54750,61404,29585,41413,60185,45,53,44,3,3,4,126,10,8,11,75734,71,70,71,12055,12,11,12,265428,22.0,16.7,22664,8.5,892,0.3,2809,1.1,164,0.1,8753,3.3,225606,85.0,840,0,0,0,51.3,35924,13.3
17121,Illinois,Marion,74.0,73.1,75.0,72.7,,74.1,742,536,495,576,540,,539,27,77,51,112,,,,20,6,4,9,,,,12,12,13,12,12,12,10,7,13,18,56,5140,13,4926,12,30,26,40,15,11,20,31,30,32,1506,7,6,8,217,2,2,3,95,1053:1,12,45126,40576,49676,23232,16803,46281,65,70,50,4,2,8,26,14,9,20,11893,74,73,76,1527,10,8,12,37902,23.0,19.5,1572,4.1,133,0.4,250,0.7,10,0.0,776,2.0,34530,91.1,164,0,0,1,51.2,17769,45.1
17123,Illinois,Marshall,76.8,75.2,78.4,,,,211,430,368,492,,,,,,,,,,,,,,,,,,10,10,11,10,10,11,11,8,16,8,78,1150,10,770,6,,,16,19,11,31,29,28,30,410,6,5,7,72,3,2,4,26,3910:1,,55337,48927,61747,,56167,55239,48,,21,,,,,,,,4071,83,81,85,381,8,6,10,11730,20.4,22.8,77,0.7,44,0.4,61,0.5,2,0.0,329,2.8,11122,94.8,35,0,0,1,50.5,12640,100.0
17125,Illinois,Mason,76.7,75.2,78.2,,,,227,414,357,471,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,11,8,15,,,1750,13,1787,12,,,16,16,9,27,30,28,31,578,7,6,9,79,3,2,4,58,1714:1,,51731,47461,56001,,,,50,,31,,,,19,28,17,43,4662,77,75,80,585,10,8,12,13715,20.8,22.1,84,0.6,53,0.4,57,0.4,1,0.0,148,1.1,13244,96.6,9,0,0,1,50.9,11364,77.5
17127,Illinois,Massac,73.8,72.1,75.5,,,,308,559,493,625,,,,13,100,54,172,,,,,,,,,,,12,12,13,12,11,12,11,8,15,,,2070,14,675,4,10,23,16,15,9,25,31,30,33,567,7,6,8,78,2,2,3,7,14344:1,,47646,43067,52225,23009,,44482,62,30,26,,,,15,20,11,34,4471,73,70,77,829,14,10,18,14344,22.3,20.5,801,5.6,74,0.5,78,0.5,2,0.0,437,3.0,12633,88.1,24,0,0,1,52.0,7793,50.5
17129,Illinois,Menard,79.1,77.4,80.7,,,,162,336,281,391,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,10,7,14,10,95,1280,10,57,0,,,15,17,10,28,30,29,31,422,6,5,7,75,3,2,3,8,12245:1,,65367,58785,71949,,,,33,,13,,,,,,,,3974,76,73,79,426,9,6,11,12245,22.1,19.0,114,0.9,41,0.3,43,0.4,3,0.0,189,1.5,11699,95.5,0,0,0,1,51.3,9617,75.7
17131,Illinois,Mercer,78.8,77.5,80.1,,,,243,369,320,418,,,,,,,,,,,,,,,,,,10,10,10,10,10,11,10,7,14,11,82,1620,10,1160,7,,,12,11,6,19,28,27,30,558,6,5,7,91,3,2,3,38,2603:1,,52846,47695,57997,,51250,55791,40,,30,,,,,,,,5126,77,75,79,529,8,6,11,15618,21.1,21.4,100,0.6,44,0.3,60,0.4,6,0.0,392,2.5,14881,95.3,14,0,0,1,50.1,12779,77.8
17133,Illinois,Monroe,82.0,81.1,82.9,,,,283,226,199,253,,,,,,,,,,,,,,,,,,9,8,9,9,9,10,10,7,14,,,2290,7,1703,5,10,10,24,10,7,15,28,27,30,936,5,4,5,145,2,1,2,53,1894:1,,83767,74000,93534,41970,,74545,19,34,30,,,,17,10,6,16,10852,82,80,84,1242,9,7,12,34097,22.4,17.1,119,0.3,76,0.2,203,0.6,10,0.0,526,1.5,32882,96.4,105,0,0,1,50.4,13631,41.4
17135,Illinois,Montgomery,78.1,77.1,79.1,,,,403,375,337,413,,,,15,63,35,104,,,,,,,,,,,11,11,12,11,11,12,11,8,15,42,168,3850,13,2280,8,17,20,28,14,9,20,31,30,32,1124,7,6,8,140,2,1,3,83,1200:1,9,51206,45969,56443,,67143,47904,52,,36,,,,10,7,3,13,8767,78,76,80,962,9,7,11,28790,20.4,19.7,1005,3.5,67,0.2,142,0.5,11,0.0,521,1.8,26818,93.2,33,0,0,0,47.5,12530,41.6
17137,Illinois,Morgan,78.0,77.1,79.0,70.5,,78.2,522,397,361,432,613,,394,13,48,25,82,,,,,,,,,,,11,11,12,11,11,12,10,7,14,25,84,4280,12,4688,13,11,11,31,13,9,18,32,30,33,1118,6,5,7,150,2,1,3,56,1779:1,11,52357,47663,57051,26296,,51232,52,64,53,,,,12,7,4,12,9578,69,67,71,1466,11,9,13,33798,19.4,19.7,2105,6.2,137,0.4,225,0.7,17,0.1,821,2.4,29996,88.8,110,0,0,1,49.7,12878,36.2
17139,Illinois,Moultrie,77.9,76.5,79.3,,,,173,340,287,392,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,10,7,13,,,1520,10,117,1,,,15,14,8,24,30,29,31,705,9,7,10,128,3,2,4,20,4896:1,,60496,54079,66913,,41786,54313,46,,29,,,,,,,,4441,76,73,79,481,8,6,11,14688,25.4,18.5,76,0.5,36,0.2,44,0.3,5,0.0,206,1.4,14202,96.7,61,0,0,1,51.2,10279,69.2
17141,Illinois,Ogle,79.1,78.3,79.8,,85.7,78.7,622,325,299,352,,229,334,23,49,31,73,,,,22,6,4,9,,,,11,10,11,11,10,11,10,7,13,33,76,4740,9,2928,5,23,15,46,13,9,17,29,28,31,2097,7,6,8,310,3,2,3,31,3191:1,8,60656,56777,64535,,44647,58268,36,58,48,,,,23,9,6,13,15594,75,73,76,2317,11,10,13,51063,22.6,18.3,533,1.0,188,0.4,316,0.6,39,0.1,5250,10.3,44272,86.7,1193,2,2,3,50.2,25197,47.1
17143,Illinois,Peoria,77.5,77.1,77.9,72.9,91.5,78.2,2459,390,374,405,592,182,365,120,68,56,80,132,,41,155,8,7,10,19,,4,12,12,13,12,11,12,10,8,12,337,219,28390,15,12760,7,134,24,122,9,8,11,32,31,32,7887,7,6,8,1072,2,2,3,174,574:1,7,54195,51343,57047,28143,44963,58611,51,63,49,8,7,10,101,11,9,13,48422,65,64,66,9022,13,11,14,183011,23.8,16.5,33251,18.2,733,0.4,7494,4.1,121,0.1,8827,4.8,128187,70.0,2091,1,1,1,51.5,27313,14.6
17145,Illinois,Perry,77.6,76.5,78.8,77.3,,77.2,295,373,329,417,,,,10,60,29,110,,,,,,,,,,,11,11,12,11,11,11,10,7,13,27,146,2910,14,2168,10,12,19,22,14,9,22,32,31,33,763,7,6,8,98,2,2,3,56,1774:1,,50553,44594,56512,25089,,46092,52,67,48,,,,,,,,6137,75,72,77,928,12,9,15,21285,19.4,18.3,1821,8.6,85,0.4,102,0.5,13,0.1,675,3.2,18307,86.0,16,0,0,1,45.2,9754,43.6
17147,Illinois,Piatt,79.5,78.2,80.9,,,,184,295,250,340,,,,10,68,33,125,,,,,,,,,,,9,9,10,10,9,10,11,8,15,,,1270,8,115,1,,,15,13,7,21,29,28,30,519,5,4,6,94,2,2,3,43,2349:1,,67173,60067,74279,,45000,69594,33,,5,,,,,,,,5452,82,80,83,361,5,4,7,16445,22.5,19.0,106,0.6,36,0.2,68,0.4,8,0.0,213,1.3,15857,96.4,9,0,0,1,50.6,11319,67.7
17149,Illinois,Pike,77.0,75.6,78.4,,,,239,403,349,457,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,11,8,16,,,1780,11,1450,9,,,22,20,12,30,30,29,31,822,9,8,11,126,3,2,5,70,1438:1,,43301,38402,48200,,49375,41609,53,,29,,,,,,,,5137,77,75,80,535,8,6,11,15821,22.0,20.4,299,1.9,37,0.2,47,0.3,6,0.0,196,1.2,15114,95.5,12,0,0,1,49.6,11880,72.3
17151,Illinois,Pope,79.6,77.2,82.0,,,,70,330,250,426,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,11,7,15,,,510,12,341,8,,,,,,,30,29,31,206,8,7,10,20,3,2,4,23,4325:1,,43119,37677,48561,,,,56,,7,,,,,,,,1399,85,83,88,123,8,3,13,4325,12.2,26.9,277,6.4,32,0.7,17,0.4,3,0.1,81,1.9,3866,89.4,0,0,0,1,47.1,4470,100.0
17153,Illinois,Pulaski,76.3,74.4,78.3,78.5,,75.3,104,461,365,556,437,,478,,,,,,,,,,,,,,,15,14,15,14,13,14,12,8,15,11,228,1060,18,591,10,,,,,,,35,34,36,281,9,7,10,34,3,2,4,,,,38846,33808,43884,29239,26250,39336,84,34,32,,,,,,,,1656,74,71,77,234,11,7,15,5509,21.6,21.9,1653,30.0,35,0.6,18,0.3,3,0.1,128,2.3,3535,64.2,14,0,0,2,51.7,6161,100.0
17155,Illinois,Putnam,78.2,75.6,80.9,,,,84,345,268,438,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,7,14,,,520,9,132,2,,,,,,,29,28,31,221,7,5,8,35,3,2,4,17,5727:1,,64000,56769,71231,,105313,63319,33,,,,,,,,,,1945,80,78,82,169,7,4,10,5727,20.2,22.5,41,0.7,16,0.3,22,0.4,1,0.0,338,5.9,5253,91.7,67,1,0,3,48.7,6006,100.0
17157,Illinois,Randolph,77.6,76.6,78.5,77.8,,77.2,443,370,335,406,419,,385,10,40,19,73,,,,,,,,,,,11,11,12,11,10,11,10,7,14,37,130,3630,11,1124,3,17,17,77,33,26,42,31,30,33,999,6,5,7,142,2,1,3,68,1474:1,,52749,48142,57356,35158,52143,50760,49,69,40,4,2,8,16,10,6,16,9126,76,73,78,794,7,5,8,32423,19.2,18.2,3423,10.6,91,0.3,135,0.4,22,0.1,1042,3.2,27434,84.6,68,0,0,1,44.5,14275,42.6
17159,Illinois,Richland,76.7,75.3,78.2,,,,233,406,352,461,,,,13,91,48,155,,,,,,,,,,,12,12,12,12,11,12,10,7,14,6,45,1900,12,379,2,,,20,18,11,28,31,29,32,635,7,6,8,98,3,2,4,57,1767:1,,48489,43820,53158,,,,54,,33,,,,,,,,4596,71,68,74,464,8,5,10,15901,22.9,20.1,114,0.7,51,0.3,142,0.9,3,0.0,288,1.8,15120,95.1,48,0,0,1,50.7,7056,43.5
17161,Illinois,Rock Island,78.4,77.9,78.8,74.4,86.6,78.3,1935,362,345,379,536,189,365,66,51,39,65,110,,45,78,6,5,8,18,,4,11,11,11,11,11,11,11,8,13,268,219,17330,12,9351,6,53,12,69,7,5,9,33,32,34,6816,8,7,9,974,3,2,4,81,1238:1,5,51805,49631,53979,34045,48951,53414,56,45,36,5,4,6,52,7,5,9,41434,69,68,70,6779,12,10,13,144808,22.4,18.7,14861,10.3,863,0.6,3749,2.6,68,0.0,18765,13.0,103837,71.7,3545,3,2,3,50.7,16112,10.9
17163,Illinois,St. Clair,76.8,76.4,77.1,73.1,99.8,78.0,3749,424,410,437,592,188,370,183,73,62,83,110,,51,196,8,7,10,13,,6,12,12,13,12,11,12,12,10,15,691,315,44290,17,32344,12,145,18,252,14,12,15,35,34,35,12217,8,7,9,1448,2,2,3,82,1215:1,11,51937,49497,54377,27852,47476,63754,52,57,51,15,13,17,262,20,17,22,67109,65,64,66,14131,14,13,15,262479,23.6,15.2,79240,30.2,993,0.4,3787,1.4,258,0.1,10810,4.1,162161,61.8,1586,1,0,1,51.7,26343,9.8
17165,Illinois,Saline,74.1,73.1,75.1,,,,492,522,473,570,1034,,511,12,57,29,99,,,,20,9,6,14,,,,13,13,14,13,12,13,11,8,14,,,3910,16,4920,20,17,23,24,14,9,21,32,30,33,1042,7,6,9,126,2,2,3,104,964:1,,41394,36574,46214,,24605,41960,58,42,26,,,,,,,,7208,73,70,75,1062,11,9,14,24102,21.8,20.0,913,3.8,107,0.4,163,0.7,21,0.1,445,1.8,22051,91.5,188,1,0,1,50.7,10878,43.7
17167,Illinois,Sangamon,78.0,77.6,78.4,74.7,89.3,78.4,2574,362,348,377,527,,348,102,57,46,68,115,,38,126,8,7,9,17,,5,11,11,11,11,11,11,10,8,13,292,175,25920,13,10207,5,130,22,144,10,9,12,33,32,34,6564,6,5,6,938,2,1,3,167,599:1,8,61519,58875,64163,26555,52641,63480,43,56,48,5,4,7,104,11,9,13,58052,69,69,70,10305,13,12,14,196452,22.5,17.2,25015,12.7,507,0.3,3979,2.0,67,0.0,4509,2.3,158107,80.5,715,0,0,0,52.0,27895,14.1
17169,Illinois,Schuyler,76.6,74.4,78.8,,,,126,437,356,518,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,11,7,14,,,940,13,269,4,,,11,22,11,39,31,30,33,353,8,7,10,38,3,2,3,71,1407:1,,52946,46263,59629,,,,43,,,,,,,,,,2277,80,78,82,130,5,2,7,7035,19.0,21.9,269,3.8,13,0.2,25,0.4,0,0.0,126,1.8,6565,93.3,30,0,0,2,47.4,4348,57.6
17171,Illinois,Scott,75.8,73.1,78.5,,,,86,478,379,596,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,10,7,14,,,590,11,68,1,,,,,,,30,29,31,202,7,6,8,30,3,2,4,20,5002:1,,49745,43898,55592,,,,48,,,,,,,,,,1597,76,72,80,157,8,4,12,5002,21.5,19.8,20,0.4,12,0.2,13,0.3,0,0.0,62,1.2,4855,97.1,12,0,0,2,50.4,5355,100.0
17173,Illinois,Shelby,79.8,78.5,81.0,,,,299,337,296,378,,,,12,65,33,113,,,,,,,,,,,11,11,12,11,11,12,10,7,14,7,38,2340,11,2034,9,,,23,15,10,22,30,28,31,764,6,5,7,112,2,2,3,23,4344:1,,51873,46727,57019,,,,45,,27,,,,10,9,4,17,7415,81,78,83,725,8,6,10,21719,21.3,22.0,89,0.4,47,0.2,74,0.3,9,0.0,217,1.0,21117,97.2,12,0,0,0,50.3,17383,77.7
17175,Illinois,Stark,76.4,73.8,79.1,,,,95,440,349,547,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,8,15,,,660,11,562,9,,,14,35,19,58,29,28,31,202,6,5,8,39,3,2,4,37,2717:1,,51446,45676,57216,,,,45,,,,,,,,,,1872,80,76,84,173,8,4,11,5434,22.0,21.0,34,0.6,14,0.3,28,0.5,4,0.1,96,1.8,5188,95.5,1,0,0,1,50.4,5994,100.0
17177,Illinois,Stephenson,78.9,78.0,79.7,74.9,84.8,79.2,591,340,311,370,461,,331,25,63,41,93,135,,45,21,6,4,9,,,,12,11,12,12,11,12,13,10,17,41,106,6170,13,1029,2,18,13,35,11,8,15,31,29,32,1841,7,6,8,247,2,2,3,53,1877:1,10,48237,43139,53335,27345,38518,49067,54,55,51,3,2,6,19,8,5,13,13537,69,68,71,2115,11,9,13,45054,21.6,22.0,4409,9.8,119,0.3,289,0.6,19,0.0,1798,4.0,37225,82.6,121,0,0,1,51.4,19129,40.1
